#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="24F5FC5E6", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2019-08-19, 06:16:33,  +00:00,       ,   -1.3187517,   36.8139343,  5411.2, 30.21,  5496.8,  16.8,   0.00,   0.00,    0.00,  -0.47,   0.97,  -0.01,   0.00,  71.3, 359.4,  28.3,  31.6,  87.71,  99.59,    16.26,  132.58,   94.51,  136.93, 1045.40,   53.79,  579.70,  5445.3,   0,  GPS,  279.0, 113.10, 110.30, 121.900, 118.100,       ,       ,       ,      ,       ,       ,    0.6,      0,    TO,     TO,   0.0,   7.0,  -3.9,     3D, 1852,      ,       ,  73.5,       
2019-08-19, 06:16:33,  +00:00,       ,   -1.3187517,   36.8139343,  5411.2, 30.21,  5496.8,  16.8,   0.00,   0.00,    0.00,  -0.49,   0.98,  -0.01,   0.01,  71.3, 359.4,  28.3,  31.7,  87.71,  99.59,    16.26,  132.58,   94.41,  136.93, 1045.35,   53.79,  579.73,  5445.3,   0,  GPS,  279.0, 113.10, 110.30, 121.900, 118.100,       ,       ,       ,      ,       ,       ,    0.6,      0,    TO,     TO,   0.0,   7.0,  -3.9,     3D, 1852,      ,       ,  73.5,       
2019-08-19, 06:16:34,  +00:00,       ,   -1.3187517,   36.8139305,  5411.2, 30.21,  5496.6,  16.8,   0.00,   0.00,    0.00,  -0.48,   0.96,  -0.01,   0.00,  71.3, 359.4,  28.3,  31.7,  87.58,  99.59,    16.26,  132.63,   94.47,  136.65, 1045.34,   53.79,  580.02,  5445.1,   0,  GPS,  279.0, 113.10, 110.30, 121.900, 118.100,       ,       ,       ,      ,       ,       ,    0.6,      0,    TO,     TO,   0.0,   7.0,   0.0,     3D, 1852,      ,       ,  73.5,       
2019-08-19, 06:16:35,  +00:00,       ,   -1.3187513,   36.8139305,  5411.2, 30.21,  5496.3,  16.8,   0.00,   0.00,    0.00,  -0.46,   0.97,  -0.02,  -0.00,  71.3, 359.4,  28.3,  31.5,  87.58,  99.59,    16.24,  132.68,   94.40,  136.39, 1045.56,   53.80,  580.15,  5444.8,   0,  GPS,  279.0, 113.10, 110.30, 121.900, 118.100,       ,       ,       ,      ,       ,       ,    0.6,      0,    TO,     TO,   0.0,   7.0,   0.0,     3D, 1852,      ,       ,  73.5,       
2019-08-19, 06:16:36,  +00:00,       ,   -1.3187513,   36.8139305,  5411.2, 30.21,  5496.5,  16.8,   0.00,   0.00,    0.00,  -0.45,   0.97,  -0.01,   0.00,  71.3, 359.4,  28.3,  31.2,  87.58,  99.72,    16.24,  132.73,   94.41,  136.55, 1045.11,   53.80,  580.35,  5445.1,   0,  GPS,  279.0, 113.10, 110.30, 121.900, 118.100,       ,       ,       ,      ,       ,       ,    0.6,      0,    TO,     TO,   0.0,   7.0,   0.0,     3D, 1852,      ,       ,  73.5,       
2019-08-19, 06:16:37,  +00:00,       ,   -1.3187509,   36.8139305,  5411.2, 30.21,  5497.3,  16.8,   0.00,   0.00,    0.00,  -0.44,   0.94,  -0.02,  -0.01,  71.3, 359.4,  28.3,  30.6,  87.45,  99.78,    16.22,  132.79,   94.38,  136.39, 1044.96,   53.81,  580.58,  5445.8,   0,  GPS,  279.0, 113.10, 110.30, 121.900, 118.100,       ,       ,       ,      ,       ,       ,    0.6,      0,    TO,     TO,   0.0,   7.0,   0.0,     3D, 1852,      ,       ,  73.5,       
2019-08-19, 06:16:38,  +00:00,       ,   -1.3187505,   36.8139343,  5411.2, 30.21,  5497.3,  16.8,   0.00,   0.00,    0.00,  -0.44,   0.96,  -0.02,   0.00,  71.3, 359.4,  28.2,  30.3,  87.45,  99.78,    16.23,  132.84,   94.39,  136.14, 1045.29,   53.82,  580.54,  5445.8,   0,  GPS,  279.0, 113.10, 110.30, 121.900, 118.100,       ,       ,       ,      ,       ,       ,    0.6,      0,    TO,     TO,   0.0,   7.0,   0.0,     3D, 1852,      ,       ,  73.5,       
2019-08-19, 06:16:39,  +00:00,       ,   -1.3187503,   36.8139343,  5411.2, 30.21,  5497.7,  16.8,   0.00,   0.00,    0.00,  -0.44,   0.96,  -0.01,  -0.00,  71.3, 359.4,  28.4,  38.0,  87.45,  99.85,    17.00,  132.90,   94.50,  142.42, 1049.76,   54.28,  584.37,  5446.2,   0,  GPS,  279.0, 113.10, 110.30, 121.900, 118.100,       ,       ,       ,      ,       ,       ,    0.6,      0,    TO,     TO,   0.0,   7.0,   0.0,     3D, 1852,      ,       ,  73.5,       
2019-08-19, 06:16:40,  +00:00,       ,   -1.3187486,   36.8139305,  5411.2, 30.21,  5498.6,  16.8,   0.00,   0.00,    0.00,  -0.44,   0.96,  -0.02,  -0.01,  71.3, 359.4,  28.5,  37.8,  87.45,  99.85,    18.20,  132.96,   94.81,  160.57, 1073.02,   56.20,  606.82,  5447.1,   0,  GPS,  279.0, 113.10, 110.30, 121.900, 118.100,       ,       ,       ,      ,       ,       ,    0.6,      0,    TO,     TO,   0.0,   7.0,   0.0,     3D, 1852,      ,       ,  79.0,       
2019-08-19, 06:16:41,  +00:00,       ,   -1.3187482,   36.8139343,  5411.2, 30.21,  5498.4,  16.8,   0.00,   0.00,    0.00,  -0.43,   0.97,  -0.01,  -0.00,  71.3, 359.4,  28.5,  38.2,  87.32,  99.85,    18.51,  133.02,   94.86,  169.05, 1100.69,   57.56,  615.46,  5446.9,   0,  GPS,  279.0, 113.10, 110.30, 121.900, 118.100,       ,       ,       ,      ,       ,       ,    0.6,      0,    TO,     TO,   0.0,   7.0,   0.0,     3D, 1852,      ,       ,  79.0,       
